ID,EID,SFID,SF,LACT,BDAT,CBRD,GNDR,BW8T,TECH,Event,AGE,Date,Remark,Protocols,Technician
1031613,840003286114759,31613,1,0,1/2/2025,J    ,F     ,55,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031614,840003286114743,31614,1,0,1/1/2025,J    ,F     ,72,0,TOGROWR    ,1,1/2/2025,                ,                ,
1031615,840003286114760,31615,1,0,1/2/2025,X    ,F     ,70,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031616,840003286114761,31616,1,0,1/2/2025,X    ,F     ,75,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031617,840003286114755,31617,1,0,1/2/2025,H    ,F     ,81,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031618,840003286114751,31618,1,0,1/2/2025,H    ,F     ,83,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031619,840003286114752,31619,1,0,1/2/2025,J    ,F     ,58,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031620,840003286114762,31620,1,0,1/2/2025,J    ,F     ,53,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031621,840003286114758,31621,1,0,1/2/2025,J    ,F     ,61,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031622,840003286114756,31622,1,0,1/2/2025,J    ,F     ,58,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031623,840003286114757,31623,1,0,1/2/2025,J    ,F     ,67,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031624,840003286114747,31624,1,0,1/2/2025,H    ,F     ,83,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031625,840003286114748,31625,1,0,1/2/2025,J    ,F     ,55,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031626,840003286114753,31626,1,0,1/2/2025,J    ,F     ,60,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031627,840003286114754,31627,1,0,1/2/2025,H    ,F     ,74,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031628,840003286114750,31628,1,0,1/3/2025,H    ,F     ,89,0,TOGROWR    ,1,1/4/2025,                ,                ,
1031629,840003286114749,31629,1,0,1/2/2025,J    ,F     ,59,0,TOGROWR    ,1,1/3/2025,                ,                ,
1031630,840003286114746,31630,1,0,1/3/2025,J    ,F     ,60,0,TOGROWR    ,1,1/4/2025,                ,                ,
1031631,840003286114745,31631,1,0,1/3/2025,J    ,F     ,62,0,TOGROWR    ,1,1/4/2025,                ,                ,
1031632,840003286114744,31632,1,0,1/3/2025,J    ,F     ,70,0,TOGROWR    ,1,1/4/2025,                ,                ,
1031633,840003286114774,31633,1,0,1/3/2025,H    ,F     ,72,0,TOGROWR    ,1,1/4/2025,                ,                ,
1031634,840003286114766,31634,1,0,1/3/2025,J    ,F     ,57,0,TOGROWR    ,1,1/4/2025,                ,                ,
1031635,840003286114769,31635,1,0,1/3/2025,H    ,F     ,97,0,TOGROWR    ,1,1/4/2025,                ,                ,
1031636,840003286114770,31636,1,0,1/3/2025,J    ,F     ,65,0,TOGROWR    ,1,1/4/2025,                ,                ,
1031637,840003286114765,31637,1,0,1/4/2025,J    ,F     ,76,0,TOGROWR    ,1,1/5/2025,                ,                ,
1031638,840003286114768,31638,1,0,1/4/2025,J    ,F     ,73,0,TOGROWR    ,1,1/5/2025,                ,                ,
1031639,840003286114764,31639,1,0,1/4/2025,H    ,F     ,79,0,TOGROWR    ,1,1/5/2025,                ,                ,
1031640,840003286114773,31640,1,0,1/4/2025,H    ,F     ,92,0,TOGROWR    ,1,1/5/2025,                ,                ,
1031641,840003286114772,31641,1,0,1/4/2025,J    ,F     ,62,0,TOGROWR    ,1,1/5/2025,                ,                ,
1031642,840003286114767,31642,1,0,1/4/2025,H    ,F     ,83,0,TOGROWR    ,1,1/5/2025,                ,                ,
1031643,840003286114771,31643,1,0,1/4/2025,J    ,F     ,84,0,TOGROWR    ,1,1/5/2025,                ,                ,
1031644,840003286114794,31644,1,0,1/5/2025,J    ,F     ,66,0,TOGROWR    ,1,1/6/2025,                ,                ,
1031645,840003286114798,31645,1,0,1/5/2025,J    ,F     ,78,0,TOGROWR    ,1,1/6/2025,                ,                ,
1031646,840003286114776,31646,1,0,1/4/2025,J    ,F     ,63,0,TOGROWR    ,1,1/5/2025,                ,                ,
1031647,840003286114782,31647,1,0,1/4/2025,H    ,F     ,81,0,TOGROWR    ,1,1/5/2025,                ,                ,
1031648,840003286114777,31648,1,0,1/5/2025,H    ,F     ,78,0,TOGROWR    ,1,1/6/2025,                ,                ,
1031649,840003286114778,31649,1,0,1/5/2025,J    ,F     ,68,0,TOGROWR    ,1,1/6/2025,                ,                ,
1031650,840003286114780,31650,1,0,1/5/2025,J    ,F     ,57,0,TOGROWR    ,1,1/6/2025,                ,                ,
1031651,840003286114781,31651,1,0,1/5/2025,H    ,F     ,87,0,TOGROWR    ,1,1/6/2025,                ,                ,
1031652,840003286114799,31652,1,0,1/5/2025,J    ,F     ,78,0,TOGROWR    ,1,1/6/2025,                ,                ,
1031653,840003286114763,31653,1,0,1/5/2025,H    ,F     ,88,0,TOGROWR    ,1,1/6/2025,                ,                ,
1031654,840003286114795,31654,1,0,1/5/2025,J    ,F     ,53,0,TOGROWR    ,1,1/6/2025,                ,                ,
1031655,840003286114807,31655,1,0,1/7/2025,J    ,F     ,62,0,TOGROWR    ,1,1/8/2025,                ,                ,
1031656,840003286114790,31656,1,0,1/5/2025,J    ,F     ,54,0,TOGROWR    ,1,1/6/2025,                ,                ,
1031657,840003286114797,31657,1,0,1/5/2025,J    ,F     ,56,0,TOGROWR    ,1,1/6/2025,                ,                ,
1031658,840003286114800,31658,1,0,1/6/2025,J    ,F     ,40,0,TOGROWR    ,1,1/7/2025,                ,                ,
1031659,840003286114786,31659,1,0,1/6/2025,J    ,F     ,62,0,TOGROWR    ,1,1/7/2025,                ,                ,
1031660,840003286114789,31660,1,0,1/6/2025,H    ,F     ,90,0,TOGROWR    ,1,1/7/2025,                ,                ,
1031661,840003286114796,31661,1,0,1/5/2025,J    ,F     ,70,0,TOGROWR    ,1,1/6/2025,                ,                ,
1031662,840003286114785,31662,1,0,1/6/2025,J    ,F     ,69,0,TOGROWR    ,1,1/7/2025,                ,                ,
1031663,840003286114783,31663,1,0,1/6/2025,J    ,F     ,50,0,TOGROWR    ,1,1/7/2025,                ,                ,
1031664,840003286114784,31664,1,0,1/6/2025,J    ,F     ,68,0,TOGROWR    ,1,1/7/2025,                ,                ,
1031665,840003286114787,31665,1,0,1/6/2025,J    ,F     ,65,0,TOGROWR    ,1,1/7/2025,                ,                ,
1031666,840003286114788,31666,1,0,1/6/2025,J    ,F     ,55,0,TOGROWR    ,1,1/7/2025,                ,                ,
1031667,840003286114791,31667,1,0,1/6/2025,J    ,F     ,68,0,TOGROWR    ,1,1/7/2025,                ,                ,
1031668,840003286114792,31668,1,0,1/6/2025,J    ,F     ,85,0,TOGROWR    ,1,1/7/2025,                ,                ,
1031669,840003286114802,31669,1,0,1/6/2025,J    ,F     ,70,0,TOGROWR    ,1,1/7/2025,                ,                ,
1031670,840003286114801,31670,1,0,1/6/2025,J    ,F     ,68,0,TOGROWR    ,1,1/7/2025,                ,                ,
1031671,840003286114819,31671,1,0,1/7/2025,H    ,F     ,85,0,TOGROWR    ,1,1/8/2025,                ,                ,
1031672,840003286114808,31672,1,0,1/7/2025,H    ,F     ,90,0,TOGROWR    ,1,1/8/2025,                ,                ,
1031673,840003286114813,31673,1,0,1/8/2025,J    ,F     ,58,0,TOGROWR    ,1,1/9/2025,                ,                ,
1031674,840003286114811,31674,1,0,1/7/2025,J    ,F     ,59,0,TOGROWR    ,1,1/8/2025,                ,                ,
1031675,840003286114815,31675,1,0,1/7/2025,J    ,F     ,63,0,TOGROWR    ,1,1/8/2025,                ,                ,
1031676,840003286114804,31676,1,0,1/7/2025,J    ,F     ,74,0,TOGROWR    ,1,1/8/2025,                ,                ,
1031677,840003286114805,31677,1,0,1/7/2025,J    ,F     ,60,0,TOGROWR    ,1,1/8/2025,                ,                ,
1031678,840003286114816,31678,1,0,1/7/2025,J    ,F     ,74,0,TOGROWR    ,1,1/8/2025,                ,                ,
1031679,840003286114820,31679,1,0,1/7/2025,H    ,F     ,92,0,TOGROWR    ,1,1/8/2025,                ,                ,
1031680,840003286114809,31680,1,0,1/7/2025,J    ,F     ,53,0,TOGROWR    ,1,1/8/2025,                ,                ,
1031681,840003286114817,31681,1,0,1/7/2025,H    ,F     ,93,0,TOGROWR    ,1,1/8/2025,                ,                ,
1031682,840003286114806,31682,1,0,1/7/2025,J    ,F     ,80,0,TOGROWR    ,1,1/8/2025,                ,                ,
1031683,840003286114810,31683,1,0,1/8/2025,J    ,F     ,58,0,TOGROWR    ,1,1/9/2025,                ,                ,
1031684,840003286114814,31684,1,0,1/8/2025,J    ,F     ,60,0,TOGROWR    ,1,1/9/2025,                ,                ,
1031685,840003286114821,31685,1,0,1/8/2025,J    ,F     ,60,0,TOGROWR    ,1,1/9/2025,                ,                ,
1031686,840003286114818,31686,1,0,1/8/2025,H    ,F     ,103,0,TOGROWR    ,1,1/9/2025,                ,                ,
1031687,840003286114822,31687,1,0,1/8/2025,H    ,F     ,95,0,TOGROWR    ,1,1/9/2025,                ,                ,
1031688,840003286114803,31688,1,0,1/8/2025,J    ,F     ,56,0,TOGROWR    ,1,1/9/2025,                ,                ,
1031689,840003286114826,31689,1,0,1/8/2025,J    ,F     ,60,0,TOGROWR    ,1,1/9/2025,                ,                ,
1031690,840003286114825,31690,1,0,1/9/2025,J    ,F     ,66,0,TOGROWR    ,1,1/10/2025,                ,                ,
1031691,840003286114824,31691,1,0,1/8/2025,J    ,F     ,53,0,TOGROWR    ,1,1/9/2025,                ,                ,
1031692,840003286114828,31692,1,0,1/8/2025,J    ,F     ,81,0,TOGROWR    ,1,1/9/2025,                ,                ,
1031693,840003286114827,31693,1,0,1/8/2025,J    ,F     ,58,0,TOGROWR    ,1,1/9/2025,                ,                ,
1031694,840003286114832,31694,1,0,1/9/2025,H    ,F     ,105,0,TOGROWR    ,1,1/10/2025,                ,                ,
1031695,840003286114830,31695,1,0,1/9/2025,J    ,F     ,62,0,TOGROWR    ,1,1/10/2025,                ,                ,
1031696,840003286114835,31696,1,0,1/9/2025,H    ,F     ,85,0,TOGROWR    ,1,1/10/2025,                ,                ,
1031697,840003286114831,31697,1,0,1/9/2025,J    ,F     ,68,0,TOGROWR    ,1,1/10/2025,                ,                ,
1031698,840003286114829,31698,1,0,1/9/2025,J    ,F     ,63,0,TOGROWR    ,1,1/10/2025,                ,                ,
1031699,840003286114836,31699,1,0,1/9/2025,J    ,F     ,58,0,TOGROWR    ,1,1/10/2025,                ,                ,
1031700,840003286114833,31700,1,0,1/9/2025,J    ,F     ,30,0,TOGROWR    ,1,1/10/2025,                ,                ,
1031701,840003286114823,31701,1,0,1/9/2025,J    ,F     ,68,0,TOGROWR    ,1,1/10/2025,                ,                ,
1031702,840003286114839,31702,1,0,1/9/2025,H    ,F     ,87,0,TOGROWR    ,1,1/10/2025,                ,                ,
1031703,840003286114840,31703,1,0,1/9/2025,H    ,F     ,63,0,TOGROWR    ,1,1/10/2025,                ,                ,
1031704,840003286114838,31704,1,0,1/10/2025,J    ,F     ,64,0,TOGROWR    ,1,1/11/2025,                ,                ,
1031705,840003286114834,31705,1,0,1/10/2025,J    ,F     ,67,0,TOGROWR    ,1,1/11/2025,                ,                ,
1031706,840003286114837,31706,1,0,1/10/2025,J    ,F     ,68,0,TOGROWR    ,1,1/11/2025,                ,                ,
1031707,840003286114842,31707,1,0,1/10/2025,J    ,F     ,65,0,TOGROWR    ,1,1/11/2025,                ,                ,
1031708,840003286114841,31708,1,0,1/10/2025,J    ,F     ,66,0,TOGROWR    ,1,1/11/2025,                ,                ,
1031709,840003286114847,31709,1,0,1/10/2025,J    ,F     ,69,0,TOGROWR    ,1,1/11/2025,                ,                ,
1031710,840003286114843,31710,1,0,1/10/2025,J    ,F     ,62,0,TOGROWR    ,1,1/11/2025,                ,                ,
1031711,840003286114844,31711,1,0,1/10/2025,J    ,F     ,66,0,TOGROWR    ,1,1/11/2025,                ,                ,
1031712,840003286114845,31712,1,0,1/10/2025,H    ,F     ,90,0,TOGROWR    ,1,1/11/2025,                ,                ,
1031713,840003286114846,31713,1,0,1/10/2025,J    ,F     ,75,0,TOGROWR    ,1,1/11/2025,                ,                ,
1031714,840003286114850,31714,1,0,1/10/2025,J    ,F     ,68,0,TOGROWR    ,1,1/11/2025,                ,                ,
1031715,840003286114854,31715,1,0,1/10/2025,J    ,F     ,60,0,TOGROWR    ,1,1/11/2025,                ,                ,
1031716,840003286114858,31716,1,0,1/11/2025,H    ,F     ,79,0,TOGROWR    ,1,1/12/2025,                ,                ,
1031717,840003286114862,31717,1,0,1/11/2025,H    ,F     ,82,0,TOGROWR    ,1,1/12/2025,                ,                ,
1031718,840003286114861,31718,1,0,1/11/2025,H    ,F     ,105,0,TOGROWR    ,1,1/12/2025,                ,                ,
1031719,840003286114849,31719,1,0,1/11/2025,H    ,F     ,92,0,TOGROWR    ,1,1/12/2025,                ,                ,
1031720,840003286114855,31720,1,0,1/11/2025,J    ,F     ,75,0,TOGROWR    ,1,1/12/2025,                ,                ,
1031721,840003290176998,31721,1,0,1/11/2025,J    ,F     ,62,0,TOGROWR    ,1,1/12/2025,                ,                ,
1031722,840003286114852,31722,1,0,1/11/2025,J    ,F     ,80,0,TOGROWR    ,1,1/12/2025,                ,                ,
1031723,840003286114853,31723,1,0,1/11/2025,J    ,F     ,55,0,TOGROWR    ,1,1/12/2025,                ,                ,
1031724,840003286114851,31724,1,0,1/11/2025,J    ,F     ,55,0,TOGROWR    ,1,1/12/2025,                ,                ,
1031725,840003286114848,31725,1,0,1/11/2025,H    ,F     ,87,0,TOGROWR    ,1,1/12/2025,                ,                ,
1031726,840003286114856,31726,1,0,1/11/2025,J    ,F     ,86,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002794,840003297404576,2794,2,0,12/31/2024,H    ,F     ,86,0,TOGROWR    ,1,1/1/2025,                ,                ,
2002795,840003297404689,2795,2,0,12/31/2024,X    ,F     ,88,0,TOGROWR    ,1,1/1/2025,                ,                ,
2002796,840003297404721,2796,2,0,12/31/2024,X    ,F     ,102,0,TOGROWR    ,1,1/1/2025,                ,                ,
2002797,840003297404710,2797,2,0,12/31/2024,X    ,F     ,87,0,TOGROWR    ,1,1/1/2025,                ,                ,
2002798,840003297404575,2798,2,0,12/31/2024,X    ,F     ,90,0,TOGROWR    ,1,1/1/2025,                ,                ,
2002799,840003297404719,2799,2,0,12/31/2024,X    ,F     ,81,0,TOGROWR    ,1,1/1/2025,                ,                ,
2002800,840003297404687,2800,2,0,12/31/2024,X    ,F     ,107,0,TOGROWR    ,1,1/1/2025,                ,                ,
2002801,840003297404664,2801,2,0,12/31/2024,X    ,F     ,77,0,TOGROWR    ,1,1/1/2025,                ,                ,
2002802,840003297404644,2802,2,0,1/1/2025,X    ,F     ,88,0,TOGROWR    ,1,1/2/2025,                ,                ,
2002803,840003297404733,2803,2,0,1/1/2025,H    ,F     ,98,0,TOGROWR    ,1,1/2/2025,                ,                ,
2002804,840003297404722,2804,2,0,1/1/2025,X    ,F     ,117,0,TOGROWR    ,1,1/2/2025,                ,                ,
2002805,840003297404289,2805,2,0,1/1/2025,H    ,F     ,102,0,TOGROWR    ,1,1/2/2025,                ,                ,
2002806,982000467857557,2806,2,0,1/2/2025,H    ,F     ,99,0,TOGROWR    ,1,1/3/2025,                ,                ,
2002807,982000467857714,2807,2,0,1/2/2025,H    ,F     ,94,0,TOGROWR    ,1,1/3/2025,                ,                ,
2002808,982000467857530,2808,2,0,1/2/2025,H    ,F     ,93,0,TOGROWR    ,1,1/3/2025,                ,                ,
2002809,982000467857589,2809,2,0,1/2/2025,H    ,F     ,83,0,TOGROWR    ,1,1/3/2025,                ,                ,
2002810,982000467857709,2810,2,0,1/2/2025,H    ,F     ,81,0,TOGROWR    ,1,1/3/2025,                ,                ,
2002811,982000467857556,2811,2,0,1/2/2025,H    ,F     ,80,0,TOGROWR    ,1,1/3/2025,                ,                ,
2002812,982000467857656,2812,2,0,1/3/2025,B    ,F     ,90,0,TOGROWR    ,1,1/4/2025,                ,                ,
2002813,982000467857642,2813,2,0,1/2/2025,X    ,F     ,90,0,TOGROWR    ,1,1/3/2025,                ,                ,
2002814,982000467857661,2814,2,0,1/2/2025,X    ,F     ,100,0,TOGROWR    ,1,1/3/2025,                ,                ,
2002815,982000467857710,2815,2,0,1/2/2025,X    ,F     ,60,0,TOGROWR    ,1,1/3/2025,                ,                ,
2002816,982000467857517,2816,2,0,1/3/2025,B    ,F     ,77,0,TOGROWR    ,1,1/4/2025,                ,                ,
2002817,982000467857691,2817,2,0,1/3/2025,H    ,F     ,83,0,TOGROWR    ,1,1/4/2025,                ,                ,
2002818,982000467857677,2818,2,0,1/3/2025,B    ,F     ,75,0,TOGROWR    ,1,1/4/2025,                ,                ,
2002819,982000467857679,2819,2,0,1/4/2025,B    ,F     ,75,0,TOGROWR    ,1,1/5/2025,                ,                ,
2002820,982000467857674,2820,2,0,1/4/2025,B    ,F     ,98,0,TOGROWR    ,1,1/5/2025,                ,                ,
2002821,982000467857731,2821,2,0,1/4/2025,B    ,F     ,100,0,TOGROWR    ,1,1/5/2025,                ,                ,
2002822,982000467857631,2822,2,0,1/4/2025,B    ,F     ,101,0,TOGROWR    ,1,1/5/2025,                ,                ,
2002823,982000467857706,2823,2,0,1/4/2025,B    ,F     ,108,0,TOGROWR    ,1,1/5/2025,                ,                ,
2002824,982000467857641,2824,2,0,1/4/2025,H    ,F     ,92,0,TOGROWR    ,1,1/5/2025,                ,                ,
2002825,840003290176959,2825,2,0,1/9/2025,B    ,F     ,110,0,TOGROWR    ,1,1/10/2025,                ,                ,
2002826,840003290177034,2826,2,0,1/9/2025,B    ,F     ,82,0,TOGROWR    ,1,1/10/2025,                ,                ,
2002827,840003290176936,2827,2,0,1/9/2025,H    ,F     ,105,0,TOGROWR    ,1,1/10/2025,                ,                ,
2002828,840003290176954,2828,2,0,1/9/2025,H    ,F     ,92,0,TOGROWR    ,1,1/10/2025,                ,                ,
2002829,840003290176941,2829,2,0,1/9/2025,H    ,F     ,86,0,TOGROWR    ,1,1/10/2025,                ,                ,
2002830,840003290176978,2830,2,0,1/9/2025,B    ,F     ,109,0,TOGROWR    ,1,1/10/2025,                ,                ,
2002831,840003290177086,2831,2,0,1/9/2025,B    ,F     ,97,0,TOGROWR    ,1,1/10/2025,                ,                ,
2002832,840003290176950,2832,2,0,1/9/2025,H    ,F     ,85,0,TOGROWR    ,1,1/10/2025,                ,                ,
2002833,840003290176944,2833,2,0,1/9/2025,B    ,F     ,92,0,TOGROWR    ,1,1/10/2025,                ,                ,
2002834,840003290177004,2834,2,0,1/10/2025,B    ,F     ,81,0,TOGROWR    ,1,1/11/2025,                ,                ,
2002835,982000467860931,2835,2,0,1/10/2025,B    ,F     ,111,0,TOGROWR    ,1,1/11/2025,                ,                ,
2002836,982000467860995,2836,2,0,1/10/2025,B    ,F     ,88,0,TOGROWR    ,1,1/11/2025,                ,                ,
2002837,840003290177000,2837,2,0,1/10/2025,B    ,F     ,97,0,TOGROWR    ,1,1/11/2025,                ,                ,
2002838,840003290177008,2838,2,0,1/11/2025,B    ,F     ,110,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002839,840003290177027,2839,2,0,1/11/2025,B    ,F     ,87,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002840,982000467860963,2840,2,0,1/11/2025,B    ,F     ,82,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002841,982000467860989,2841,2,0,1/11/2025,B    ,F     ,104,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002842,840003290176962,2842,2,0,1/11/2025,B    ,F     ,96,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002843,840003290176990,2843,2,0,1/11/2025,B    ,F     ,87,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002844,982000467860915,2844,2,0,1/11/2025,B    ,F     ,96,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002845,840003290176993,2845,2,0,1/11/2025,B    ,F     ,103,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002846,840003290176981,2846,2,0,1/11/2025,B    ,F     ,79,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002847,982000467860985,2847,2,0,1/11/2025,B    ,F     ,84,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002848,840003290176955,2848,2,0,1/11/2025,B    ,F     ,90,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002849,982000467860917,2849,2,0,1/11/2025,B    ,F     ,104,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002850,840003290176963,2850,2,0,1/11/2025,H    ,F     ,89,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002851,982000467860922,2851,2,0,1/11/2025,B    ,F     ,93,0,TOGROWR    ,1,1/12/2025,                ,                ,
2002852,840003290176973,2852,2,0,1/11/2025,H    ,F     ,85,0,TOGROWR    ,1,1/12/2025,                ,                ,
3011651,840003297404683,11651,3,0,12/31/2024,X    ,F     ,99,0,TOGROWR    ,1,1/1/2025,                ,                ,
3011652,840003297404671,11652,3,0,12/31/2024,X    ,F     ,101,0,TOGROWR    ,1,1/1/2025,                ,                ,
3011653,840003297404707,11653,3,0,12/31/2024,X    ,F     ,91,0,TOGROWR    ,1,1/1/2025,                ,                ,
3011654,840003297404711,11654,3,0,12/31/2024,X    ,F     ,95,0,TOGROWR    ,1,1/1/2025,                ,                ,
3011655,840003297404185,11655,3,0,12/31/2024,X    ,F     ,80,0,TOGROWR    ,1,1/1/2025,                ,                ,
3011656,840003297404723,11656,3,0,12/31/2024,X    ,F     ,106,0,TOGROWR    ,1,1/1/2025,                ,                ,
3011657,840003297404616,11657,3,0,12/31/2024,X    ,F     ,76,0,TOGROWR    ,1,1/1/2025,                ,                ,
3011658,840003297404751,11658,3,0,12/31/2024,X    ,F     ,80,0,TOGROWR    ,1,1/1/2025,                ,                ,
3011659,840003297404729,11659,3,0,12/31/2024,X    ,F     ,93,0,TOGROWR    ,1,1/1/2025,                ,                ,
3011660,840003297404738,11660,3,0,1/1/2025,H    ,F     ,88,0,TOGROWR    ,1,1/2/2025,                ,                ,
3011661,840003297404742,11661,3,0,1/1/2025,X    ,F     ,92,0,TOGROWR    ,1,1/2/2025,                ,                ,
3011662,840003297404636,11662,3,0,1/1/2025,X    ,F     ,76,0,TOGROWR    ,1,1/2/2025,                ,                ,
3011663,840003297404756,11663,3,0,1/1/2025,X    ,F     ,90,0,TOGROWR    ,1,1/2/2025,                ,                ,
3011664,840003297404303,11664,3,0,1/1/2025,H    ,F     ,91,0,TOGROWR    ,1,1/2/2025,                ,                ,
3011665,982000467857660,11665,3,0,1/2/2025,M    ,F     ,69,0,TOGROWR    ,1,1/3/2025,                ,                ,
3011666,982000467857653,11666,3,0,1/2/2025,M    ,F     ,80,0,TOGROWR    ,1,1/3/2025,                ,                ,
3011667,982000467857736,11667,3,0,1/2/2025,M    ,F     ,83,0,TOGROWR    ,1,1/3/2025,                ,                ,
3011668,982000467857541,11668,3,0,1/2/2025,M    ,F     ,85,0,TOGROWR    ,1,1/3/2025,                ,                ,
3011669,982000467857613,11669,3,0,1/2/2025,M    ,F     ,81,0,TOGROWR    ,1,1/3/2025,                ,                ,
3011670,982000467857699,11670,3,0,1/2/2025,M    ,F     ,98,0,TOGROWR    ,1,1/3/2025,                ,                ,
3011671,982000467857718,11671,3,0,1/2/2025,M    ,F     ,69,0,TOGROWR    ,1,1/3/2025,                ,                ,
3011672,982000467857722,11672,3,0,1/2/2025,M    ,F     ,80,0,TOGROWR    ,1,1/3/2025,                ,                ,
3011673,982000467857645,11673,3,0,1/3/2025,M    ,F     ,93,0,TOGROWR    ,1,1/4/2025,                ,                ,
3011674,982000467857750,11674,3,0,1/3/2025,H    ,F     ,83,0,TOGROWR    ,1,1/4/2025,                ,                ,
3011675,982000467857748,11675,3,0,1/4/2025,M    ,F     ,98,0,TOGROWR    ,1,1/5/2025,                ,                ,
3011676,982000467857633,11676,3,0,1/4/2025,M    ,F     ,65,0,TOGROWR    ,1,1/5/2025,                ,                ,
3011677,982000467857566,11677,3,0,1/4/2025,H    ,F     ,83,0,TOGROWR    ,1,1/5/2025,                ,                ,
3011678,949000011368224,11678,3,0,1/5/2025,M    ,F     ,77,0,TOGROWR    ,1,1/6/2025,                ,                ,
3011679,949000011368226,11679,3,0,1/5/2025,M    ,F     ,78,0,TOGROWR    ,1,1/6/2025,                ,                ,
3011680,982000467857646,11680,3,0,1/5/2025,M    ,F     ,99,0,TOGROWR    ,1,1/6/2025,                ,                ,
3011681,949000011368052,11681,3,0,1/5/2025,M    ,F     ,110,0,TOGROWR    ,1,1/6/2025,                ,                ,
3011682,982000467857548,11682,3,0,1/5/2025,M    ,F     ,80,0,TOGROWR    ,1,1/6/2025,                ,                ,
3011683,982000467857537,11683,3,0,1/5/2025,M    ,F     ,81,0,TOGROWR    ,1,1/6/2025,                ,                ,
3011684,840003290177021,11684,3,0,1/6/2025,H    ,F     ,74,0,TOGROWR    ,1,1/7/2025,                ,                ,
3011685,840003290177025,11685,3,0,1/6/2025,M    ,F     ,85,0,TOGROWR    ,1,1/7/2025,                ,                ,
3011686,840003290177057,11686,3,0,1/6/2025,M    ,F     ,83,0,TOGROWR    ,1,1/7/2025,                ,                ,
3011687,840003290177098,11687,3,0,1/6/2025,M    ,F     ,90,0,TOGROWR    ,1,1/7/2025,                ,                ,
3011688,840003290176956,11688,3,0,1/7/2025,M    ,F     ,86,0,TOGROWR    ,1,1/8/2025,                ,                ,
